Date,Pair,Open,High,Low,Close
6/14/2023,USD/GBP,0.793,0.7937,0.7874,0.7896
6/13/2023,USD/GBP,0.7997,0.7998,0.792,0.7929
6/12/2023,USD/GBP,0.7954,0.801,0.7936,0.7992
6/9/2023,USD/GBP,0.7961,0.7978,0.7943,0.7953
6/8/2023,USD/GBP,0.7961,0.7961,0.7961,0.7961
6/7/2023,USD/GBP,0.8048,0.8068,0.7999,0.804
6/6/2023,USD/GBP,0.804,0.8071,0.8025,0.8049
6/5/2023,USD/GBP,0.8032,0.8085,0.8025,0.8041
6/2/2023,USD/GBP,0.7982,0.8039,0.7971,0.8032
6/1/2023,USD/GBP,0.8038,0.8065,0.7974,0.7983
5/31/2023,USD/GBP,0.8057,0.8098,0.8035,0.8038
5/30/2023,USD/GBP,0.8095,0.8113,0.8034,0.8056
5/29/2023,USD/GBP,0.8099,0.8107,0.8082,0.8094
5/26/2023,USD/GBP,0.8115,0.8123,0.8067,0.8101
5/25/2023,USD/GBP,0.8088,0.8125,0.8073,0.8115
5/24/2023,USD/GBP,0.8088,0.8088,0.8088,0.8088
5/23/2023,USD/GBP,0.8041,0.8082,0.8034,0.8054
5/22/2023,USD/GBP,0.8034,0.8056,0.8017,0.804
5/19/2023,USD/GBP,0.8057,0.807,0.801,0.8035
5/18/2023,USD/GBP,0.8009,0.8071,0.8004,0.8058
5/17/2023,USD/GBP,0.8008,0.8051,0.7993,0.8008
5/16/2023,USD/GBP,0.7981,0.8023,0.7969,0.8008
5/15/2023,USD/GBP,0.8024,0.8037,0.7977,0.7981
5/12/2023,USD/GBP,0.7993,0.8036,0.7973,0.8032
5/11/2023,USD/GBP,0.7923,0.8003,0.7911,0.7994
5/10/2023,USD/GBP,0.7924,0.7935,0.7886,0.792
5/9/2023,USD/GBP,0.7925,0.7951,0.7911,0.7923
5/8/2023,USD/GBP,0.7912,0.7929,0.7893,0.7925
5/5/2023,USD/GBP,0.7956,0.7962,0.7903,0.7915
5/4/2023,USD/GBP,0.796,0.797,0.7936,0.7953
5/3/2023,USD/GBP,0.8023,0.8024,0.7943,0.7958
5/2/2023,USD/GBP,0.8002,0.8042,0.7992,0.8022
5/1/2023,USD/GBP,0.7956,0.8013,0.7954,0.8002
4/28/2023,USD/GBP,0.8001,0.8035,0.7946,0.7959
4/27/2023,USD/GBP,0.802,0.8041,0.7999,0.8002
4/26/2023,USD/GBP,0.8059,0.8063,0.799,0.802
4/25/2023,USD/GBP,0.8011,0.8074,0.7995,0.8059
4/24/2023,USD/GBP,0.8044,0.8058,0.8008,0.801
4/21/2023,USD/GBP,0.804,0.8087,0.8033,0.804
4/20/2023,USD/GBP,0.804,0.8062,0.8021,0.8037
4/19/2023,USD/GBP,0.8047,0.807,0.8016,0.8039
4/18/2023,USD/GBP,0.8079,0.8085,0.8031,0.8047
4/17/2023,USD/GBP,0.805,0.8095,0.8039,0.8081
4/14/2023,USD/GBP,0.7987,0.8066,0.7969,0.8054
4/13/2023,USD/GBP,0.801,0.8014,0.7976,0.7985
4/12/2023,USD/GBP,0.8048,0.8066,0.8003,0.801
4/11/2023,USD/GBP,0.8076,0.8078,0.8027,0.8048
